This job can be monitored from: https://job.c3se.chalmers.se/alvis/3967338
>>> Training with SGD
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┃          40  ┃      0.0018  │     92.06 %  ┃      0.0020 │     91.75 %┃
┃          40  ┃      0.0018  │     92.06 %  ┃      0.0018 │     92.38 %┃
┃          41  ┃      0.0018  │     92.04 %  ┃      0.0018 │     92.38 %┃
┃          41  ┃      0.0018  │     92.04 %  ┃      0.0019 │     91.63 %┃
┃          42  ┃      0.0019  │     91.74 %  ┃      0.0019 │     91.63 %┃
┃          42  ┃      0.0019  │     91.74 %  ┃      0.0020 │     91.45 %┃
┃          43  ┃      0.0019  │     92.20 %  ┃      0.0020 │     91.45 %┃
┃          43  ┃      0.0019  │     92.20 %  ┃      0.0019 │     91.70 %┃
┃          44  ┃      0.0018  │     92.30 %  ┃      0.0019 │     91.70 %┃
┃          44  ┃      0.0018  │     92.30 %  ┃      0.0020 │     91.75 %┃
┃          45  ┃      0.0018  │     92.26 %  ┃      0.0020 │     91.75 %┃
┃          45  ┃      0.0018  │     92.26 %  ┃      0.0018 │     92.46 %┃
┃          46  ┃      0.0019  │     92.32 %  ┃      0.0018 │     92.46 %┃
┃          46  ┃      0.0019  │     92.32 %  ┃      0.0020 │     91.69 %┃
┃          47  ┃      0.0018  │     92.08 %  ┃      0.0020 │     91.69 %┃
┃          47  ┃      0.0018  │     92.08 %  ┃      0.0019 │     91.77 %┃
┃          48  ┃      0.0018  │     92.36 %  ┃      0.0019 │     91.77 %┃
┃          48  ┃      0.0018  │     92.36 %  ┃      0.0019 │     91.70 %┃
┃          49  ┃      0.0020  │     91.26 %  ┃      0.0019 │     91.70 %┃
┃          49  ┃      0.0020  │     91.26 %  ┃      0.0021 │     90.74 %┃
┃          50  ┃      0.0018  │     91.92 %  ┃      0.0021 │     90.74 %┃
┃          50  ┃      0.0018  │     91.92 %  ┃      0.0019 │     92.03 %┃
┃          51  ┃      0.0020  │     91.20 %  ┃      0.0019 │     92.03 %┃
